VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,source_file
2,2017-05-18 16:55:43,2017-05-18 18:04:11,N,2,130,48,2,12.43,52.0,4.5,0.5,0.0,33.0,,0.3,90.3,2,1,,green_tripdata_2017-05.parquet
2,2017-07-21 17:50:23,2017-07-21 17:50:51,N,2,193,193,5,0.0,52.0,4.5,0.5,0.0,0.72,,0.3,58.02,2,1,,green_tripdata_2017-07.parquet
1,2017-12-01 18:55:10,2017-12-01 19:39:05,N,2,41,132,2,16.9,52.0,4.5,0.5,0.0,17.16,,0.3,74.46,2,1,,green_tripdata_2017-12.parquet
1,2017-06-23 12:34:57,2017-06-23 13:42:08,N,3,65,1,4,14.8,73.0,1.0,0.0,0.0,10.5,,0.3,84.8,2,1,,green_tripdata_2017-06.parquet
2,2017-03-03 17:26:03,2017-03-03 18:47:43,N,3,49,1,5,16.07,81.5,1.0,0.0,0.0,12.5,,0.3,95.3,2,1,,green_tripdata_2017-03.parquet
2,2017-05-15 16:15:15,2017-05-15 18:14:12,N,3,75,1,2,20.13,105.0,1.0,0.0,0.0,12.5,,0.3,118.8,1,1,,green_tripdata_2017-05.parquet
2,2017-02-03 16:16:24,2017-02-03 17:27:53,N,3,43,1,6,20.39,87.0,1.0,0.0,0.0,12.5,,0.3,100.8,2,1,,green_tripdata_2017-02.parquet
1,2017-10-02 15:58:02,2017-10-02 16:47:47,N,3,33,1,2,14.9,65.5,1.0,0.0,0.0,12.5,,0.3,79.3,2,1,,green_tripdata_2017-10.parquet
2,2017-10-16 16:59:31,2017-10-16 17:41:09,N,3,244,1,4,22.5,77.0,1.0,0.0,0.0,12.5,,0.3,90.8,2,1,,green_tripdata_2017-10.parquet
2,2017-07-18 16:19:02,2017-07-18 17:22:36,N,3,74,1,5,27.3,96.0,1.0,0.0,0.0,12.5,,0.3,109.8,1,1,,green_tripdata_2017-07.parquet
1,2017-12-13 16:11:54,2017-12-13 17:29:00,N,3,80,1,2,18.0,80.0,1.0,0.0,0.0,12.5,,0.3,93.8,2,1,,green_tripdata_2017-12.parquet
1,2017-12-18 15:56:08,2017-12-18 17:01:36,N,3,236,1,2,28.1,98.5,1.0,0.0,0.0,12.5,,0.3,112.3,1,1,,green_tripdata_2017-12.parquet
1,2017-09-22 16:11:47,2017-09-22 17:44:31,N,3,33,1,2,15.0,85.5,1.0,0.0,0.0,12.5,,0.3,99.3,2,1,,green_tripdata_2017-09.parquet
1,2017-11-20 16:38:43,2017-11-20 17:41:38,N,3,33,1,4,15.4,72.0,1.0,0.0,0.0,12.5,,0.3,85.8,2,1,,green_tripdata_2017-11.parquet
2,2017-03-30 15:00:56,2017-03-30 15:43:21,N,3,33,1,3,23.64,80.0,1.0,0.0,0.0,27.02,,0.3,108.32,2,1,,green_tripdata_2017-03.parquet
2,2017-04-28 16:30:06,2017-04-28 17:59:28,N,3,41,1,6,26.5,99.0,1.0,0.0,0.0,18.2,,0.3,118.5,2,1,,green_tripdata_2017-04.parquet
1,2017-01-17 16:16:00,2017-01-17 17:40:20,N,3,145,1,4,17.8,82.5,1.0,0.0,0.0,18.04,,0.3,101.84,2,1,,green_tripdata_2017-01.parquet
2,2017-02-23 18:03:11,2017-02-23 18:44:52,N,3,181,1,5,22.85,78.5,1.0,0.0,0.0,23.58,,0.3,103.38,2,1,,green_tripdata_2017-02.parquet
2,2017-02-08 17:33:41,2017-02-08 18:43:29,N,3,75,1,2,21.5,83.5,1.0,0.0,0.0,19.5,,0.3,104.3,1,1,,green_tripdata_2017-02.parquet
